kind,order,issue_id,category,priority,best_article_id,backup_article_ids,reason,issue_group,issue_family,internal_category,issue_score,titles
selected,1,I035,자사_및_계열사_이슈,4,41,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,global_incident:leadership_service:kakao:leadership_service,self_strategic_reference,SELF_AFFILIATE_BUSINESS,559.8,"카카오, 카톡 앞세워 ‘통합 멤버십’ 띄운다…네이버·쿠팡과 ‘구독 대전’ 점화"
selected,2,I044,자사_및_계열사_이슈,4,232,2,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,self_strategic_reference:카카오 유료 멤버십 도입 추진 네이버 넷플릭스 흥행 공식 이을까,self_strategic_reference,SELF_AFFILIATE_BUSINESS,512.8,"카카오, 유료 멤버십 도입 추진...네이버-넷플릭스 흥행 공식 이을까 | 카카오, 유료 멤버십 도입 추진...네이버-넷플릭스 흥행 공식 이을까"
selected,3,I002,정부_국회,5,399,"375,483,1931,1918,1952,1958,1953,1816,383",로컬 보조 라벨 / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류,global_incident:ai_security_policy:naver:ai_security_policy,comp_domestic_public_infra,COMPETITOR_PLATFORM_RISK,676.0,"네이버, 독자 '사이버보안 AI 모델' 만든다…정부 사업 선정 | 네이버 컨소, 정부 '사이버보안 AI 모델' 개발 사업자 선정 | 네이버, 독자 '사이버보안 AI 모델' 만든다…정부 사업 선정(종합)"
selected,4,I009,정부_국회,5,380,"1928,1842,1920,2066,1937,1954,1965,1879,1817",로컬 보조 라벨 / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate / 로컬 보조 라벨,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,632.0,"네이버클라우드, 정부 ‘사이버보안 AI’ 사업자 선정…B200 GPU 256장 지원 | [종합] 네이버, '보안 AI' 품었다…GPU·데이터·실증 역량 앞세워 | 네이버클라우드, LG와 보안 AI 만든다…GPU 4000장 선제 투입"
selected,5,I023,정부_국회,5,302,"411,377,1873,1877,1935,1826,1856,1886,1908",로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_public_infra:정부 보안특화 ai 모델 개발 사업자로 네이버 컨소시엄 선정,comp_domestic_public_infra,COMPETITOR_PLATFORM_RISK,597.0,"[속보] 정부, 보안특화 AI 모델 개발 사업자로 네이버 컨소시엄 선정 | [속보] 정부, 보안특화 AI 모델 개발 사업자로 네이버 컨소시엄 선정 | [속보] 정부, 보안특화 AI 모델 개발 사업자로 네이버 컨소시엄 선정"
selected,6,I001,경쟁사_해외이슈,4,428,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,global_incident:platform_regulation:naver:coupang_designation_disclosure,comp_domestic_direct_risk,COMPETITOR_PLATFORM_RISK,720.5,"티빙, 쿠팡 과징금 유탄 맞나…‘남 일 아니다’ 유통플랫폼 초긴장 : 네이버 블로그"
selected,7,I003,경쟁사_해외이슈,4,1838,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아 10억 달러 전략 투자로 글로벌 ai 동맹 강화,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버–엔비디아, 10억 달러 전략 투자로 글로벌 AI 동맹 강화"
selected,8,I004,경쟁사_해외이슈,4,1917,"1942,1859,1943",로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:ai_security_policy:naver:anthropic_glasswing_security,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,653.0,"미토스 쇼크 대응할 '보안 독파모', 네이버가 맡는다(종합) | ‘한국형 미토스’ 개발에 네이버클라우드 컨소시엄...“사이버 보안 모델 속도” | [속보]'한국판 미토스' 보안특화 AI 사업자에 네이버 컨소시엄"
selected,9,I166,산업동향,3,2952,,로컬 보조 라벨,industry_structural_change:거인의 공급망 cmp 슬러리 안지마이크로 없으면 cxmt 도 없다,industry_structural_change,INDUSTRY_STRUCTURAL_CHANGE,113.25,[中 거인의 공급망] ①CMP 슬러리 '안지마이크로' 없으면 'CXMT'도 없다
selected,10,I005,경쟁사_해외이슈,4,1832,1939,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 컨소시엄 사이버 보안 특화 ai 모델 개발 사업 선정,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,633.0,"네이버 컨소시엄, '사이버 보안 특화 AI 모델' 개발 사업 선정 | 네이버 컨소시엄, '사이버 보안 특화 AI 모델' 개발 사업 선정"
