kind,order,issue_id,category,priority,best_article_id,backup_article_ids,reason,issue_group,issue_family,internal_category,issue_score,titles
selected,1,I031,자사_및_계열사_이슈,4,2234,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,self_filler_reference:네이버클라우드 보안특파모 컨소 비포함 기업들과도 협력 논의 중,self_filler_reference,SELF_AFFILIATE_BUSINESS,583.5,"네이버클라우드 “보안특파모, 컨소 비포함 기업들과도 협력 논의 중”"
selected,2,I038,자사_및_계열사_이슈,4,26,"377,273",v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,self_strategic_reference:네이버페이 카카오뱅크와 제휴 개인사업자 대출 비교 확대,self_strategic_reference,SELF_AFFILIATE_BUSINESS,514.3,"네이버페이, 카카오뱅크와 제휴…개인사업자 대출 비교 확대 | 네이버페이, 카카오뱅크와 제휴…개인사업자 대출 비교 확대 | 네이버페이, 카카오뱅크와 제휴…개인사업자 대출 비교 확대"
selected,3,I001,정부_국회,5,605,"697,2445,2348,690,2439,2276,2347,2370,2442",로컬 보조 라벨 / v26.2: overseas structural industry candidate / 로컬 보조 라벨 / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,679.0,"KT, '피지컬 AI 다크팩토리' 구축 나선다…과기정통부 과제 참여 | KT, 정부 ‘AI 다크팩토리’ 기술 개발 참여…제조 AI 사업 확대 | SKT, 글로벌 보안기업 F5와 AI 클라우드 보안 강화"
selected,4,I046,정부_국회,5,444,"2350,3091",로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전 / 로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:platform_regulation:platform_sector:platform_data_protection_obligation,self_privacy_security,COMPETITOR_PLATFORM_RISK,504.5,"개인정보위, ISMS-P 심사 개선 시행령 개정안 입법 예고 | ISMS-P 인증심사 강화한다…개인정보위, 시행령 개정안 입법예고 | ISMS-P 현장검증 강화…개인정보 유출 땐 '모의침투' 점검"
selected,5,I048,정부_국회,4,1099,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:platform_regulation:toss:platform_operator_obligation,comp_domestic_direct_risk,COMPETITOR_PLATFORM_RISK,480.5,토스페이먼츠 사고 뒤 PG 긴급점검 나선 금융위…모회사는 2년 전 ‘전산보안 위반’ 제재
selected,6,I002,경쟁사_해외이슈,4,2262,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:csk 26 네이버클라우드 ai팩토리에 특파모 심는다 글로벌 보안 연대 거점으로,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"[CSK 26] 네이버클라우드, AI팩토리에 '특파모' 심는다...'글로벌 보안 연대 거점으로'"
selected,7,I003,경쟁사_해외이슈,4,2346,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 데이터센터 유치 나선 김중남 강릉시장 현안 세일즈 광폭 행보,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,네이버 데이터센터 유치 나선 김중남 강릉시장…'현안 세일즈' 광폭 행보
selected,8,I004,경쟁사_해외이슈,4,2358,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 데이터센터용 재생에너지 확보 위해 거린에너지와 손잡아,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 데이터센터용 재생에너지 확보 위해 거린에너지와 손잡아"
selected,9,I005,경쟁사_해외이슈,4,2351,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 거린에너지 데이터센터용 재생에너지 확보 맞손,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버-거린에너지, 데이터센터용 재생에너지 확보 맞손"
selected,10,I006,경쟁사_해외이슈,4,2366,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 재생에너지 개발사와 맞손 데이터센터 전력 확보,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 亞 재생에너지 개발사와 맞손…데이터센터 전력 확보"
selected,11,I040,자사_및_계열사_이슈,4,91,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,self_strategic_reference:네이버페이 카카오뱅크 제휴로 신용대출 비교 강화 인뱅 3사 비교,self_strategic_reference,SELF_AFFILIATE_BUSINESS,511.3,"네이버페이, 카카오뱅크 제휴로 신용대출 비교 강화…인뱅 3사 비교"
selected,12,I041,자사_및_계열사_이슈,4,470,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,self_strategic_reference:네이버페이 카카오뱅크와 제휴 인터넷전문은행 3사 신용대출비교서비스 개시,self_strategic_reference,SELF_AFFILIATE_BUSINESS,511.3,"네이버페이, 카카오뱅크와 제휴,인터넷전문은행 3사 신용대출비교서비스 개시"
selected,13,I052,정부_국회,5,1231,1232,로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:platform_enforcement:toss:privacy_data_violation,comp_domestic_direct_risk,COMPETITOR_PLATFORM_RISK,477.0,"‘토스페이먼츠 정보유출’에 금융위, PG업권 보안 긴급점검…“AI 해킹 대비” | 토스·코엠 카드정보 유출에…금융위, PG업권 보안 긴급점검"
selected,14,I082,정부_국회,5,3564,,v26: 해외 정부·규제기관 이슈는 경쟁사/해외로 분류,government_ai_core_policy:eu 15세 미만 sns ai챗봇 제한 빅테크 책임 강화,government_ai_core_policy,GOV_AI_DIGITAL_POLICY,401.5,"EU, 15세 미만 SNS·AI챗봇 제한…빅테크 책임 강화"
backup,1,I007,경쟁사_해외이슈,4,2375,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 거린에너지와 협력 데이터센터 재생에너지 확보 나선다,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 거린에너지와 협력…데이터센터 재생에너지 확보 나선다"
backup,2,I008,경쟁사_해외이슈,4,2374,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 거린에너지와 데이터센터 재생 에너지 공급 협력,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 거린에너지와 데이터센터 재생 에너지 공급 협력"
